Entreprise,Environnement,Social,Gouvernance,Score global
Capgemini,3,3,3,1
EssilorLuxottica,3,3,3,1
Legrand,3,3,3,1
Publicis,3,3,3,1
Schneider Electric,3,3,3,1
Dassault Systèmes,3,3,2,0.8888888889
Hermès,2,3,3,0.8888888889
L'Oréal,2,3,3,0.8888888889
Michelin,3,2,3,0.8888888889
Atos,3,2,3,0.8888888889
STMicroelectronics,3,2,3,0.8888888889
Unibail Rodamco,2,3,3,0.8888888889
LVMH,2,2,3,0.7777777778
Sodexo,2,3,2,0.7777777778
Axa,2,3,2,0.7777777778
Peugeot,2,2,3,0.7777777778
Air Liquide,3,1,2,0.6666666667
Bouygues,2,3,1,0.6666666667
Engie,2,3,1,0.6666666667
Kering,2,3,1,0.6666666667
Pernod Ricard,2,2,2,0.6666666667
Saint-Gobain,2,1,3,0.6666666667
Vivendi,3,2,1,0.6666666667
Vinci,2,2,2,0.6666666667
Airbus,1,3,1,0.5555555556
ArcelorMittal,1,1,3,0.5555555556
Carrefour,2,1,2,0.5555555556
Crédit agricole,1,3,1,0.5555555556
Safran,2,2,1,0.5555555556
Renault,2,2,1,0.5555555556
Accor,2,1,1,0.4444444444
Danone,1,2,1,0.4444444444
Orange,1,1,2,0.4444444444
TechnipFMC,1,2,1,0.4444444444
Thalès,1,2,1,0.4444444444
Veolia Environnement,2,1,1,0.4444444444
BNP,1,1,1,0.3333333333
Sanofi,1,1,1,0.3333333333
Société générale,1,1,1,0.3333333333
Total,1,1,1,0.3333333333